epoch,train_loss,train_bce,train_l1,train_diversity,train_spread,val_auc,val_f1,val_f2,val_accuracy,val_sensitivity,val_specificity,val_precision
1,0.08393523703900076,0.0644392549330669,0.12008372411852883,0.09747990653399498,0.0,0.7839720736779561,0.0,0.0,0.9357277882797732,0.0,1.0,0.0
2,0.06563870653870606,0.05065742585687868,0.12232198343882637,0.07490614134698145,0.0,0.78698752228164,0.0,0.0,0.9357277882797732,0.0,1.0,0.0
3,0.05337397823290479,0.04209046807861136,0.13541820969793103,0.05641697575488398,0.0,0.7777332144979203,0.21686746987951808,0.156794425087108,0.9385633270321361,0.1323529411764706,0.9939393939393939,0.6
4,0.04459667485207319,0.03646735534552605,0.1536358706653118,0.04064562000454434,0.0,0.7782828282828282,0.3626943005181347,0.44080604534005036,0.8837429111531191,0.5147058823529411,0.9090909090909091,0.28
5,0.038537383289827455,0.03279504919004056,0.17462306553798337,0.028710190011488813,0.0,0.7832442067736185,0.3481781376518219,0.47671840354767187,0.8478260869565217,0.6323529411764706,0.8626262626262626,0.24022346368715083
6,0.034695309406567,0.03056939793450217,0.1972055810113107,0.02062746835872531,0.0,0.7855020796197267,0.3481781376518219,0.47671840354767187,0.8478260869565217,0.6323529411764706,0.8626262626262626,0.24022346368715083
7,0.031992234890499426,0.029213746018227068,0.21888856998374384,0.013889662493320723,0.0,0.7880421865715983,0.3426294820717131,0.4725274725274725,0.8440453686200378,0.6323529411764706,0.8585858585858586,0.23497267759562843
8,0.03021047492661784,0.02826736900474756,0.24019389839903002,0.009711967277971486,0.0,0.791369578134284,0.344,0.473568281938326,0.8449905482041588,0.6323529411764706,0.8595959595959596,0.23626373626373626
9,0.029074569322889852,0.0277103480672644,0.25792568417326095,0.006816733947714731,0.0,0.795291146761735,0.3346303501945525,0.46637744034707157,0.8383742911153119,0.6323529411764706,0.8525252525252526,0.2275132275132275
10,0.02664968927180575,0.02567892775480305,0.27779811500541624,0.004848510363034063,0.0,0.7866310160427807,0.4065934065934066,0.4792746113989637,0.8979206049149339,0.5441176470588235,0.9222222222222223,0.32456140350877194
11,0.02485075495356033,0.024282450787723064,0.300836099972648,0.002835147127869629,0.0,0.7887700534759359,0.3756345177664975,0.4613466334164589,0.8837429111531191,0.5441176470588235,0.907070707070707,0.2868217054263566
12,0.02351586646851032,0.02335604892352656,0.3228773715034608,0.0007915632761765553,0.0,0.7882947118241236,0.37373737373737376,0.4601990049751244,0.8827977315689981,0.5441176470588235,0.906060606060606,0.2846153846153846
13,0.022576510680899504,0.022574752741943923,0.3421366613718771,9.1041286767466e-08,0.0,0.7885323826500297,0.3696682464454976,0.46987951807228917,0.8742911153119093,0.5735294117647058,0.8949494949494949,0.2727272727272727
14,0.022274321613592968,0.022272321928833282,0.36059824329230095,6.65264726461234e-08,0.0,0.7875519904931669,0.3696682464454976,0.46987951807228917,0.8742911153119093,0.5735294117647058,0.8949494949494949,0.2727272727272727
15,0.021948770875291478,0.021946532862080682,0.37633254162726865,2.7687318269617007e-08,0.0,0.7881610219845514,0.37185929648241206,0.45905707196029777,0.8818525519848771,0.5441176470588235,0.9050505050505051,0.2824427480916031
16,0.021926204163220622,0.021923708196188652,0.39096928363846195,5.4970863302166374e-08,0.0,0.7867349970291146,0.37,0.45792079207920794,0.8809073724007561,0.5441176470588235,0.9040404040404041,0.2803030303030303
