epoch,train_loss,train_bce,train_l1,train_diversity,train_spread,val_auc,val_f1,val_f2,val_accuracy,val_sensitivity,val_specificity,val_precision
1,0.08097801727032469,0.05627253946037062,0.0647315489308488,0.123527385955376,0.0,0.7506090314913845,0.0,0.0,0.9357277882797732,0.0,1.0,0.0
2,0.0645328343755776,0.04492056450896686,0.09207531611525244,0.09806115168236917,0.0,0.7676619132501485,0.10989010989010989,0.0847457627118644,0.9234404536862004,0.07352941176470588,0.9818181818181818,0.21739130434782608
3,0.05347293783580103,0.038329077524042895,0.12749323254871753,0.07571875778657775,0.0,0.7742721330956626,0.38461538461538464,0.4854368932038835,0.8790170132325141,0.5882352941176471,0.898989898989899,0.2857142857142857
4,0.04591059822949671,0.03415696133649157,0.16194034175526711,0.058767153671191584,0.0,0.780941770647653,0.3453815261044177,0.4746136865342163,0.8459357277882797,0.6323529411764706,0.8606060606060606,0.23756906077348067
5,0.04040651410938271,0.03128102336138967,0.19784299897090082,0.04562577683358423,0.0,0.7886215092097446,0.36444444444444446,0.47785547785547783,0.8648393194706995,0.6029411764705882,0.8828282828282829,0.2611464968152866
6,0.034987764943751595,0.028291560499177824,0.23493889839418472,0.03347853377401348,0.0,0.7896613190730838,0.3744292237442922,0.4846335697399527,0.8705103969754253,0.6029411764705882,0.8888888888888888,0.271523178807947
7,0.030805338534616655,0.02618507148637887,0.27110641497758126,0.023097888596596255,0.0,0.7921420083184789,0.3761467889908257,0.48578199052132703,0.8714555765595463,0.6029411764705882,0.8898989898989899,0.2733333333333333
8,0.028074668269724615,0.024869908398437883,0.30297602256459577,0.016019305740032467,0.0,0.787448009506833,0.38738738738738737,0.5046948356807511,0.8714555765595463,0.6323529411764706,0.8878787878787879,0.2792207792207792
9,0.025609558117726156,0.023670356840856614,0.33083459446507113,0.009690399375563909,0.0,0.7879827688651219,0.39805825242718446,0.5,0.8827977315689981,0.6029411764705882,0.902020202020202,0.2971014492753623
10,0.024033646204418713,0.023148133239198114,0.355269004981364,0.00442079062791421,0.0,0.786660724896019,0.3761467889908257,0.48578199052132703,0.8714555765595463,0.6029411764705882,0.8898989898989899,0.2733333333333333
11,0.02281173058004389,0.02251207317045379,0.37555820254548905,0.0014903306014715663,0.0,0.7853386809269162,0.4126984126984127,0.4961832061068702,0.8950850661625709,0.5735294117647058,0.9171717171717172,0.32231404958677684
12,0.022252142466905135,0.022244179771552162,0.39432449614809406,3.062348169661831e-05,0.0,0.7868389780154486,0.4039408866995074,0.5036855036855037,0.8856332703213611,0.6029411764705882,0.9050505050505051,0.3037037037037037
13,0.021931383893975327,0.021929285368852077,0.40985278160341326,7.273689255922344e-08,0.0,0.7802881758764112,0.4077669902912621,0.5121951219512195,0.8846880907372401,0.6176470588235294,0.9030303030303031,0.30434782608695654
14,0.021768472014716076,0.021766127665497122,0.4228540356120756,7.539026091579568e-08,0.0,0.7814171122994652,0.38095238095238093,0.4830917874396135,0.8771266540642723,0.5882352941176471,0.896969696969697,0.28169014084507044
15,0.022139242241880106,0.02213665381855061,0.4347379349412457,4.751066942374554e-08,0.0,0.7755941770647653,0.36666666666666664,0.4954954954954955,0.8563327032136105,0.6470588235294118,0.8707070707070707,0.2558139534883721
16,0.02146193039633574,0.021459100790502082,0.4431298882249863,6.548819721633351e-08,0.0,0.7826351752822341,0.3744292237442922,0.4846335697399527,0.8705103969754253,0.6029411764705882,0.8888888888888888,0.271523178807947
17,0.021334512542272286,0.021331424584552165,0.4536967291947334,6.016223453470151e-08,0.0,0.7777629233511586,0.3659574468085106,0.489749430523918,0.8591682419659735,0.6323529411764706,0.8747474747474747,0.25748502994011974
18,0.021245134513705008,0.021241775736392986,0.46360282527823604,9.642493095025056e-08,0.0,0.7817884729649436,0.36444444444444446,0.47785547785547783,0.8648393194706995,0.6029411764705882,0.8828282828282829,0.2611464968152866
19,0.02096326824938578,0.020959656715633407,0.4721035652102963,5.374031585328185e-08,0.0,0.7785502079619726,0.37554585152838427,0.49653579676674364,0.8648393194706995,0.6323529411764706,0.8808080808080808,0.2670807453416149
20,0.020873875582530614,0.020869981377355514,0.48129869805228326,9.640570251778421e-08,0.0,0.780600118835413,0.36607142857142855,0.47897196261682246,0.8657844990548205,0.6029411764705882,0.8838383838383839,0.26282051282051283
21,0.020915733988306696,0.020911555098850402,0.4896167285980717,1.4824251675667066e-07,0.0,0.7782234105763517,0.37168141592920356,0.4883720930232558,0.8657844990548205,0.6176470588235294,0.8828282828282829,0.26582278481012656
22,0.02101016673259437,0.021005725653301322,0.49759527968783535,6.641110834378297e-08,0.0,0.7760546642899584,0.3652173913043478,0.4838709677419355,0.8620037807183365,0.6176470588235294,0.8787878787878788,0.25925925925925924
23,0.02069019129680049,0.020685468507449952,0.5047437260227818,8.783032640606726e-08,0.0,0.7745246583481877,0.3697478991596639,0.497737556561086,0.8582230623818525,0.6470588235294118,0.8727272727272727,0.25882352941176473
24,0.020501397520063386,0.02049639848842015,0.5119442824394472,4.8645079305189146e-08,0.0,0.7766042780748663,0.37719298245614036,0.4976851851851852,0.8657844990548205,0.6323529411764706,0.8818181818181818,0.26875
25,0.020620671386319782,0.020615391245472334,0.5180804445858924,5.772036748205499e-08,0.0,0.7784313725490195,0.36936936936936937,0.4812206572769953,0.8676748582230623,0.6029411764705882,0.8858585858585859,0.2662337662337662
26,0.020585307881476417,0.020579721312969923,0.5251075404305612,1.1972842426807402e-07,0.0,0.7748960190136661,0.3700440528634361,0.4872389791183295,0.8648393194706995,0.6176470588235294,0.8818181818181818,0.2641509433962264
27,0.02085971405669566,0.020853856450787956,0.5304752117203128,6.685333774741718e-08,0.0,0.7760843731431968,0.3684210526315789,0.4861111111111111,0.8638941398865785,0.6176470588235294,0.8808080808080808,0.2625
28,0.020719486589152968,0.020713352770995227,0.5350659489631653,6.158505497681183e-08,0.0,0.777243018419489,0.37719298245614036,0.4976851851851852,0.8657844990548205,0.6323529411764706,0.8818181818181818,0.26875
29,0.020380325487724716,0.02037389856582928,0.540581327292227,6.631497375603739e-08,0.0,0.7778520499108734,0.37554585152838427,0.49653579676674364,0.8648393194706995,0.6323529411764706,0.8808080808080808,0.2670807453416149
30,0.020641804635224324,0.0206350771139466,0.5451578440204743,1.4289732482602118e-07,0.0,0.7784313725490196,0.3788546255506608,0.4988399071925754,0.8667296786389413,0.6323529411764706,0.8828282828282829,0.27044025157232704
31,0.020355720974264607,0.020348715385602366,0.5501173354925648,6.296942150503392e-08,0.0,0.7768122400475342,0.37719298245614036,0.4976851851851852,0.8657844990548205,0.6323529411764706,0.8818181818181818,0.26875
32,0.020414110273122787,0.0204068002621493,0.5553866403718148,7.300607499183981e-08,0.0,0.7768865121806299,0.3739130434782609,0.49539170506912444,0.8638941398865785,0.6323529411764706,0.8797979797979798,0.2654320987654321
33,0.020172833904413687,0.020165209125186646,0.5607416144301814,1.0757676771611102e-07,0.0,0.7750891265597148,0.3739130434782609,0.49539170506912444,0.8638941398865785,0.6323529411764706,0.8797979797979798,0.2654320987654321
34,0.02029448498280779,0.02028656505318659,0.5658633708953857,3.730097039846764e-08,0.0,0.7735294117647058,0.36363636363636365,0.4827586206896552,0.8610586011342155,0.6176470588235294,0.8777777777777778,0.25766871165644173
35,0.020245178835466504,0.020236959523190896,0.5692863627787559,8.854173709628119e-08,0.0,0.7757278669043375,0.38222222222222224,0.5011655011655012,0.8686200378071833,0.6323529411764706,0.8848484848484849,0.27388535031847133
36,0.02070015652721087,0.0206916063137713,0.5735335157763574,2.2245990704030948e-07,0.0,0.7764260249554368,0.3744292237442922,0.4846335697399527,0.8705103969754253,0.6029411764705882,0.8888888888888888,0.271523178807947
37,0.02036185614434221,0.020353015782611984,0.5781603561293694,1.0421198983326832e-07,0.0,0.7771687462863933,0.3805309734513274,0.5,0.8676748582230623,0.6323529411764706,0.8838383838383839,0.2721518987341772
38,0.020248714977154327,0.02023956379402549,0.5826343653663513,8.340804577477273e-08,0.0,0.7745989304812834,0.3669724770642202,0.47393364928909953,0.8695652173913043,0.5882352941176471,0.8888888888888888,0.26666666666666666
39,0.020201454389720194,0.020191999407665383,0.5865990351284703,4.829898895168079e-08,0.0,0.777361853832442,0.37554585152838427,0.49653579676674364,0.8648393194706995,0.6323529411764706,0.8808080808080808,0.2670807453416149
40,0.02012811629702487,0.020118349028991594,0.5896557939629401,1.150177331441587e-07,0.0,0.7747177658942365,0.3788546255506608,0.4988399071925754,0.8667296786389413,0.6323529411764706,0.8828282828282829,0.27044025157232704
41,0.020230424883324775,0.020220344841119745,0.5936493032401607,9.040678620068327e-08,0.0,0.771984551396316,0.36681222707423583,0.48498845265588914,0.8629489603024575,0.6176470588235294,0.8797979797979798,0.2608695652173913
42,0.020208692643791437,0.02019832401175893,0.5957894493495265,9.023373990654334e-08,0.0,0.7733065953654188,0.37333333333333335,0.48951048951048953,0.8667296786389413,0.6176470588235294,0.8838383838383839,0.267515923566879
43,0.020084354358034268,0.020073640986435836,0.6004411308996139,1.3774440628971034e-07,0.0,0.7750594177064766,0.37719298245614036,0.4976851851851852,0.8657844990548205,0.6323529411764706,0.8818181818181818,0.26875
44,0.01997047451685273,0.01995945704590169,0.6032019911273834,1.3447576279763817e-07,0.0,0.7743909685086156,0.37168141592920356,0.4883720930232558,0.8657844990548205,0.6176470588235294,0.8828282828282829,0.26582278481012656
45,0.02004410926583073,0.020032801485109712,0.6062317596327874,2.5860723856259293e-08,0.0,0.7740493166963754,0.3700440528634361,0.4872389791183295,0.8648393194706995,0.6176470588235294,0.8818181818181818,0.2641509433962264
46,0.019837501083290385,0.01982584009848295,0.6094847076362179,1.9742596443682986e-07,0.0,0.7750891265597148,0.3722943722943723,0.4942528735632184,0.8629489603024575,0.6323529411764706,0.8787878787878788,0.26380368098159507
47,0.020018599371636105,0.020006639732708855,0.6128197807458139,7.419816791442274e-08,0.0,0.7745989304812835,0.37168141592920356,0.4883720930232558,0.8657844990548205,0.6176470588235294,0.8828282828282829,0.26582278481012656
48,0.021008931776328434,0.02099664108226857,0.6157872498996796,1.3578322191352204e-07,0.0,0.7761883541295306,0.3706896551724138,0.49311926605504586,0.8620037807183365,0.6323529411764706,0.8777777777777778,0.2621951219512195
49,0.020151534080204946,0.02013894361293604,0.6180518298379837,9.952052521146382e-08,0.0,0.7751931075460488,0.37168141592920356,0.4883720930232558,0.8657844990548205,0.6176470588235294,0.8828282828282829,0.26582278481012656
50,0.019992825199639606,0.01997992076400307,0.6203829862417714,1.179595120900486e-07,0.0,0.7761734997029115,0.37719298245614036,0.4976851851851852,0.8657844990548205,0.6323529411764706,0.8818181818181818,0.26875
51,0.020030903509787975,0.020017648453734094,0.6244939979045622,1.2124738185502426e-07,0.0,0.7755496137849078,0.37168141592920356,0.4883720930232558,0.8657844990548205,0.6176470588235294,0.8828282828282829,0.26582278481012656
52,0.019854650044092727,0.019841060057402618,0.6279329758497977,1.0094334671723945e-07,0.0,0.778134284016637,0.37719298245614036,0.4976851851851852,0.8657844990548205,0.6323529411764706,0.8818181818181818,0.26875
53,0.020063563790773193,0.02004964298929178,0.6314340517405541,3.920447364596531e-08,0.0,0.7829471182412359,0.3788546255506608,0.4988399071925754,0.8667296786389413,0.6323529411764706,0.8828282828282829,0.27044025157232704
54,0.020184457948010777,0.02017020104422925,0.6340812007265706,8.492700243414953e-08,0.0,0.7775401069518717,0.38009049773755654,0.49411764705882355,0.8705103969754253,0.6176470588235294,0.8878787878787879,0.27450980392156865
55,0.019825912621473114,0.01981133563564189,0.6358926800950881,1.3501413160237197e-07,0.0,0.7815656565656566,0.37719298245614036,0.4976851851851852,0.8657844990548205,0.6323529411764706,0.8818181818181818,0.26875
56,0.019716786862831685,0.019701896423113444,0.638235334427126,8.19275428860296e-08,0.0,0.7811645870469399,0.37333333333333335,0.48951048951048953,0.8667296786389413,0.6176470588235294,0.8838383838383839,0.267515923566879
