model,auc,f1,f2,accuracy,sensitivity,specificity,precision
KANFIS@0.5,0.7932709447415329,0.39069767441860465,0.5011933174224343,0.8761814744801513,0.6176470588235294,0.8939393939393939,0.2857142857142857
KANFIS@0.26,0.7932709447415329,0.2518518518518518,0.4187192118226601,0.7136105860113422,0.75,0.7111111111111111,0.1513353115727003
MLP@0.25,0.7845068330362448,0.27717391304347827,0.4458041958041958,,0.75,0.7484848484848485,
RF@0.09,0.7671197266785502,0.27419354838709675,0.4427083333333333,,0.75,0.7444444444444445,
XGB@0.17,0.7673128342245988,0.2809917355371901,0.4497354497354497,,0.75,0.7535353535353535,
